Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.argouml.cognitive.CompoundCritic.critique(Object,Designer)",5,0,14,10,5.51%
"org.argouml.cognitive.CompoundCritic.expand(String,ListSet)",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.getClarifier()",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.getCriticList()",2,3,6,3,2.36%
"org.argouml.cognitive.CompoundCritic.getCriticizedDesignMaterials()",3,0,11,8,4.33%
"org.argouml.cognitive.CompoundCritic.getSupportedDecisions()",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.getSupportedGoals()",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.isActive()",3,0,12,9,4.72%
"org.argouml.cognitive.CompoundCritic.isEnabled()",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.removeCritic(Critic)",2,3,6,3,2.36%
"org.argouml.cognitive.CompoundCritic.setCritics(List<Critic>)",2,4,7,3,2.76%
"org.argouml.cognitive.CompoundCritic.supports(Decision)",3,0,12,9,4.72%
"org.argouml.cognitive.CompoundCritic.supports(Goal)",3,0,12,9,4.72%
"org.argouml.cognitive.CompoundCritic.toDoItem(Object,Designer)",4,0,8,4,3.15%
"org.argouml.cognitive.CompoundCritic.toString()",3,0,6,3,2.36%
"org.argouml.cognitive.ControlMech.isRelevant(Critic,Designer)",2,n/a,n/a,1,33.33%
"org.argouml.cognitive.Critic.Critic()",11,7,29,18,3.29%
"org.argouml.cognitive.Critic.addControlRec(String,Object)",8,13,16,3,1.81%
"org.argouml.cognitive.Critic.addKnowledgeType(String)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.addSupportedDecision(Decision)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.addSupportedGoal(Goal)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.addTrigger(String)",2,3,7,4,0.79%
"org.argouml.cognitive.Critic.beActive()",4,4,12,8,1.36%
"org.argouml.cognitive.Critic.beInactive()",4,4,12,8,1.36%
"org.argouml.cognitive.Critic.canFixIt(ToDoItem)",11,0,14,3,1.59%
"org.argouml.cognitive.Critic.containsKnowledgeType(String)",3,0,6,3,0.68%
"org.argouml.cognitive.Critic.critique(Object,Designer)",26,21,37,6,4.20%
"org.argouml.cognitive.Critic.defaultMoreInfoURL()",4,5,15,10,1.70%
"org.argouml.cognitive.Critic.expand(String,ListSet)",3,0,6,3,0.68%
"org.argouml.cognitive.Critic.fixIt(ToDoItem,Object)",3,0,5,2,0.57%
"org.argouml.cognitive.Critic.getClarifier()",3,0,6,3,0.68%
"org.argouml.cognitive.Critic.getControlRec(String)",4,6,9,3,1.02%
"org.argouml.cognitive.Critic.getCriticCategory()",6,9,12,3,1.36%
"org.argouml.cognitive.Critic.getCriticKey()",22,30,35,5,3.97%
"org.argouml.cognitive.Critic.getCriticName()",7,10,14,4,1.59%
"org.argouml.cognitive.Critic.getCriticType()",6,7,10,3,1.13%
"org.argouml.cognitive.Critic.getCriticizedDesignMaterials()",4,5,9,4,1.02%
"org.argouml.cognitive.Critic.getDecisionCategory()",6,7,10,3,1.13%
"org.argouml.cognitive.Critic.getDescription(ListSet,Designer)",4,7,10,3,1.13%
"org.argouml.cognitive.Critic.getDescriptionTemplate()",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.getHeadline()",4,5,8,3,0.91%
"org.argouml.cognitive.Critic.getHeadline(ListSet,Designer)",4,7,10,3,1.13%
"org.argouml.cognitive.Critic.getHeadline(Object,Designer)",4,7,10,3,1.13%
"org.argouml.cognitive.Critic.getKnowledgeTypes()",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.getMoreInfoURL()",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.getMoreInfoURL(ListSet,Designer)",4,7,10,3,1.13%
"org.argouml.cognitive.Critic.getPriority()",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.getPriority(ListSet,Designer)",4,7,10,3,1.13%
"org.argouml.cognitive.Critic.getSupportedDecisions()",0,0,3,3,0.34%
