Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.argouml.uml.diagram.state.ui.FigStubState.setLineWidth(int)",3,0,7,4,1.85%
"org.argouml.uml.diagram.state.ui.FigStubState.setStandardBounds(int,int,int,int)",4,0,16,13,4.23%
"org.argouml.uml.diagram.state.ui.FigStubState.updateFont()",0,0,6,6,1.59%
"org.argouml.uml.diagram.state.ui.FigStubState.updateListeners(Object,Object)",0,0,14,14,3.70%
"org.argouml.uml.diagram.state.ui.FigStubState.updateListenersX(Object,Object)",3,9,13,3,3.44%
"org.argouml.uml.diagram.state.ui.FigStubState.updateReferenceText()",3,3,19,16,5.03%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.FigSubmachineState(Object,Rectangle,DiagramSettings)",4,7,14,7,4.22%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.clone()",3,0,16,13,4.82%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.generateSubmachine(Object)",0,0,10,10,3.01%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getFillColor()",3,0,7,4,2.11%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getInitialHeight()",3,0,6,3,1.81%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getInitialWidth()",3,0,6,3,1.81%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getInitialX()",3,0,6,3,1.81%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getInitialY()",3,0,6,3,1.81%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getLineColor()",3,0,7,4,2.11%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getLineWidth()",3,0,7,4,2.11%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getMinimumSize()",3,0,19,16,5.72%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.getUseTrapRect()",3,0,7,4,2.11%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.initFigs()",1,0,51,51,15.36%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.isFilled()",0,0,4,4,1.20%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.modelChanged(PropertyChangeEvent)",10,0,34,24,10.24%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.setFillColor(Color)",3,0,7,4,2.11%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.setFilled(boolean)",3,0,8,5,2.41%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.setLineColor(Color)",3,0,12,9,3.61%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.setLineWidth(int)",3,0,9,6,2.71%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.setStandardBounds(int,int,int,int)",6,0,53,48,15.96%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.updateInclude()",0,0,6,6,1.81%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.updateListeners(Object,Object)",3,0,13,10,3.92%
"org.argouml.uml.diagram.state.ui.FigSubmachineState.updateListenersX(Object,Object)",0,0,6,6,1.81%
"org.argouml.uml.diagram.state.ui.FigSynchState.FigSynchState(Object,Rectangle,DiagramSettings)",4,7,12,5,6.74%
"org.argouml.uml.diagram.state.ui.FigSynchState.clone()",3,0,12,9,6.74%
"org.argouml.uml.diagram.state.ui.FigSynchState.createBigPortFig()",0,0,5,5,2.81%
"org.argouml.uml.diagram.state.ui.FigSynchState.getFillColor()",3,0,7,4,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.getLineColor()",3,0,7,4,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.getLineWidth()",3,0,7,4,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.initFigs()",1,0,17,17,9.55%
"org.argouml.uml.diagram.state.ui.FigSynchState.isFilled()",0,0,4,4,2.25%
"org.argouml.uml.diagram.state.ui.FigSynchState.isResizable()",4,5,9,4,5.06%
"org.argouml.uml.diagram.state.ui.FigSynchState.modelChanged(PropertyChangeEvent)",3,0,22,19,12.36%
"org.argouml.uml.diagram.state.ui.FigSynchState.mouseClicked(MouseEvent)",3,0,6,3,3.37%
"org.argouml.uml.diagram.state.ui.FigSynchState.setFillColor(Color)",3,0,7,4,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.setFilled(boolean)",4,0,7,3,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.setLineColor(Color)",3,0,7,4,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.setLineWidth(int)",3,0,7,4,3.93%
"org.argouml.uml.diagram.state.ui.FigSynchState.setStandardBounds(int,int,int,int)",4,4,18,14,10.11%
"org.argouml.uml.diagram.state.ui.FigSynchState.updateFont()",2,3,9,6,5.06%
"org.argouml.uml.diagram.state.ui.FigTransition.FigTransition(Object,DiagramSettings)",4,6,10,4,4.88%
"org.argouml.uml.diagram.state.ui.FigTransition.getDestination()",3,0,10,7,4.88%
"org.argouml.uml.diagram.state.ui.FigTransition.getNotationProviderType()",12,0,16,4,7.80%
"org.argouml.uml.diagram.state.ui.FigTransition.getPopUpActions(MouseEvent)",3,0,61,58,29.76%
"org.argouml.uml.diagram.state.ui.FigTransition.getSource()",3,0,10,7,4.88%
"org.argouml.uml.diagram.state.ui.FigTransition.initPorts(Layer,Object)",13,12,33,15,16.10%
"org.argouml.uml.diagram.state.ui.FigTransition.initializeTransition()",0,0,8,8,3.90%
"org.argouml.uml.diagram.state.ui.FigTransition.paint(Graphics)",3,0,8,5,3.90%
"org.argouml.uml.diagram.state.ui.FigTransition.renderingChanged()",0,0,5,5,2.44%
"org.argouml.uml.diagram.state.ui.FigTransition.setFig(Fig)",3,0,8,5,3.90%
"org.argouml.uml.diagram.state.ui.FigTransition.setLayer(Layer)",1,0,8,7,3.90%
"org.argouml.uml.diagram.state.ui.FigTransition.updateDashed()",5,5,15,10,7.32%
"org.argouml.uml.diagram.state.ui.FigVertex.FigBody.FigBody(int,int,int,int)",0,0,10,10,58.82%
"org.argouml.uml.diagram.state.ui.FigVertex.FigRegionCompartment.FigRegionCompartment(int,int,int,int)",0,0,3,3,4.69%
"org.argouml.uml.diagram.state.ui.FigVertex.FigRegionCompartment.getMinimumSize()",0,0,15,15,23.44%
"org.argouml.uml.diagram.state.ui.FigVertex.FigRegionCompartment.paint(Graphics)",0,0,18,18,28.12%
"org.argouml.uml.diagram.state.ui.FigVertex.FigRegionCompartment.setBoundsImpl(int,int,int,int)",0,0,21,21,32.81%
"org.argouml.uml.diagram.state.ui.FigVertex.FigVertex(Object,Rectangle,DiagramSettings)",3,6,19,13,4.82%
"org.argouml.uml.diagram.state.ui.FigVertex.createBigPortFig()",0,0,4,4,1.02%
"org.argouml.uml.diagram.state.ui.FigVertex.getBodyText()",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getBottomMargin()",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getLeftMargin()",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getMinimumSize()",0,0,22,22,5.58%
"org.argouml.uml.diagram.state.ui.FigVertex.getNotationSettings(NotationProvider)",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getOwner(NotationProvider)",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getPopUpActions(MouseEvent)",3,0,13,10,3.30%
"org.argouml.uml.diagram.state.ui.FigVertex.getRightMargin()",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getTopMargin()",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.getTrapRects()",0,0,12,12,3.05%
"org.argouml.uml.diagram.state.ui.FigVertex.getUseTrapRect()",0,0,3,3,0.76%
"org.argouml.uml.diagram.state.ui.FigVertex.initNotationProviders(Object)",5,0,20,15,5.08%
"org.argouml.uml.diagram.state.ui.FigVertex.initialize()",0,0,11,11,2.79%
"org.argouml.uml.diagram.state.ui.FigVertex.makeSelection()",0,0,4,4,1.02%
"org.argouml.uml.diagram.state.ui.FigVertex.modelChanged(PropertyChangeEvent)",12,0,37,25,9.39%
"org.argouml.uml.diagram.state.ui.FigVertex.notationRenderingChanged(NotationProvider,String)",0,0,10,10,2.54%
"org.argouml.uml.diagram.state.ui.FigVertex.removeFromDiagramImpl()",4,0,11,7,2.79%
"org.argouml.uml.diagram.state.ui.FigVertex.renderingChanged()",3,0,13,10,3.30%
"org.argouml.uml.diagram.state.ui.FigVertex.setEnclosingFig(Fig)",9,0,50,41,12.69%
"org.argouml.uml.diagram.state.ui.FigVertex.setStandardBounds(int,int,int,int)",1,0,26,26,6.60%
"org.argouml.uml.diagram.state.ui.FigVertex.textEditStarted(FigText)",0,0,7,7,1.78%
"org.argouml.uml.diagram.state.ui.FigVertex.textEdited(FigText)",0,0,9,9,2.28%
"org.argouml.uml.diagram.state.ui.InitStateDiagram.getDetailsTabs()",0,0,3,3,14.29%
"org.argouml.uml.diagram.state.ui.InitStateDiagram.getProjectSettingsTabs()",0,0,3,3,14.29%
"org.argouml.uml.diagram.state.ui.InitStateDiagram.getSettingsTabs()",0,0,3,3,14.29%
"org.argouml.uml.diagram.state.ui.InitStateDiagram.init()",1,0,5,4,23.81%
"org.argouml.uml.diagram.state.ui.PropPanelUMLStateDiagram.PropPanelUMLStateDiagram()",4,4,8,4,57.14%
"org.argouml.uml.diagram.state.ui.SelectionState.SelectionState(Fig)",4,5,8,3,9.52%
"org.argouml.uml.diagram.state.ui.SelectionState.getIcons()",0,0,12,12,14.29%
"org.argouml.uml.diagram.state.ui.SelectionState.getInstructions(int)",0,0,4,4,4.76%
"org.argouml.uml.diagram.state.ui.SelectionState.getNewEdgeType(int)",0,0,4,4,4.76%
"org.argouml.uml.diagram.state.ui.SelectionState.getNewNode(int)",0,0,4,4,4.76%
"org.argouml.uml.diagram.state.ui.SelectionState.getNewNodeType(int)",0,0,8,8,9.52%
"org.argouml.uml.diagram.state.ui.SelectionState.isReverseEdge(int)",0,0,7,7,8.33%
"org.argouml.uml.diagram.state.ui.SelectionState.setIncomingButtonEnabled(boolean)",2,3,6,3,7.14%
"org.argouml.uml.diagram.state.ui.SelectionState.setOutgoingButtonEnabled(boolean)",2,3,6,3,7.14%
"org.argouml.uml.diagram.state.ui.SelectionVertex.SelectionVertex(Fig)",4,5,8,3,36.36%
"org.argouml.uml.diagram.state.ui.SelectionVertex.paint(Graphics)",0,0,4,4,18.18%
"org.argouml.uml.diagram.state.ui.StateDiagramPropPanelFactory.createPropPanel(Object)",0,0,6,6,42.86%
"org.argouml.uml.diagram.state.ui.StateDiagramRenderer.getFigEdgeFor(GraphModel,Layer,Object,Map)",6,0,20,15,27.03%
"org.argouml.uml.diagram.state.ui.StateDiagramRenderer.getFigNodeFor(GraphModel,Layer,Object,Map)",7,0,24,17,32.43%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.UMLStateDiagram()",6,7,16,8,2.03%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.UMLStateDiagram(Object,Object)",4,8,24,16,3.04%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.UMLStateDiagram(String,Object)",4,6,19,13,2.41%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.createDiagramElement(Object,Rectangle)",0,0,62,62,7.86%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.createGraphModel()",2,0,9,7,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.doesAccept(Object)",0,0,15,15,1.90%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.drop(Object,Point)",3,0,71,68,9.00%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.encloserChanged(FigNode,FigNode,FigNode)",1,0,4,3,0.51%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionActionSequence()",0,0,7,7,0.89%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionCallAction()",0,0,6,6,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionCallEvent()",2,3,9,6,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionChangeEvent()",2,3,9,6,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionChoicePseudoState()",2,3,11,8,1.39%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionCompositeState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionCreateAction()",0,0,6,6,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionDeepHistoryPseudoState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionDestroyAction()",0,0,6,6,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionFinalPseudoState()",2,3,13,10,1.65%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionForkPseudoState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionGuard()",0,0,6,6,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionJoinPseudoState()",2,3,10,7,1.27%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionJunctionPseudoState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionReturnAction()",0,0,6,6,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionSendAction()",0,0,6,6,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionShallowHistoryPseudoState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionSignalEvent()",2,3,9,6,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionStartPseudoState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionState()",2,3,12,9,1.52%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionStubState()",2,3,13,10,1.65%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionSubmachineState()",2,3,13,10,1.65%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionSynchState()",2,3,13,10,1.65%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionTerminateAction()",0,0,7,7,0.89%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionTimeEvent()",2,3,9,6,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionTransition()",2,3,14,11,1.77%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getActionUninterpretedAction()",0,0,7,7,0.89%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getDependentElement()",3,0,7,4,0.89%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getEffectActions()",0,0,14,14,1.77%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getLabelName()",3,0,6,3,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getNamespaceFromMachine(Object)",6,8,33,25,4.18%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getOwner()",3,5,15,10,1.90%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getRelocationCandidates(Object)",3,0,9,6,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getStateMachine()",2,3,6,3,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getTriggerActions()",0,0,10,10,1.27%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.getUmlActions()",4,6,29,23,3.68%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.initialize(Object)",6,8,21,13,2.66%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.isRelocationAllowed(Object)",7,0,10,3,1.27%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.nameDiagram(Object)",5,5,21,15,2.66%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.propertyChange(PropertyChangeEvent)",5,0,28,24,3.55%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.relocate(Object)",3,0,6,3,0.76%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.setStateMachine(Object)",2,3,9,6,1.14%
"org.argouml.uml.diagram.state.ui.UMLStateDiagram.setup(Object,Object)",17,18,37,17,4.69%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.addEdge(Object)",10,7,35,24,6.03%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.addNode(Object)",6,0,18,12,3.10%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.addNodeRelatedEdges(Object)",7,7,62,53,10.69%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddEdge(Object)",3,0,116,113,20.00%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canAddNode(Object)",9,0,53,45,9.14%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.canChangeConnectedNode(Object,Object,Object)",10,13,28,13,4.83%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.changeConnectedNode(Object,Object,Object,boolean)",10,14,27,13,4.66%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.getInEdges(Object)",8,7,44,33,7.59%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.getOutEdges(Object)",6,0,42,36,7.24%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.getOwner(Object)",3,0,6,3,1.03%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.getPorts(Object)",3,0,22,19,3.79%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.rerouteAssociation(Object,Object,Object,boolean)",12,5,42,30,7.24%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.rerouteDependency(Object,Object,Object,boolean)",6,5,9,3,1.55%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.rerouteGeneralization(Object,Object,Object,boolean)",6,5,9,3,1.55%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.rerouteLink(Object,Object,Object,boolean)",6,5,9,3,1.55%
"org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel.vetoableChange(PropertyChangeEvent)",5,0,33,28,5.69%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramAssociationEdge.ClassdiagramAssociationEdge(FigEdge)",4,5,8,3,11.27%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramAssociationEdge.getCenterRight(FigNode)",5,8,12,4,16.90%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramAssociationEdge.layout()",27,0,41,15,57.75%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.ClassdiagramEdge(FigEdge)",2,3,10,7,13.51%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.getCurrentEdge()",2,3,6,3,8.11%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.getDestFigNode()",2,3,6,3,8.11%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.getHGap()",2,3,4,1,5.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.getSourceFigNode()",2,3,6,3,8.11%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.getUnderlyingFig()",2,3,6,3,8.11%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.getVGap()",2,3,4,1,5.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.layout()",4,n/a,n/a,1,8.11%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.setHGap(int)",2,3,4,1,5.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramEdge.setVGap(int)",2,3,4,1,5.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramGeneralizationEdge.ClassdiagramGeneralizationEdge(FigEdge)",4,5,8,3,50.00%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.ClassdiagramInheritanceEdge(FigEdge)",5,5,12,6,9.23%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.getCenterHigh()",2,3,7,4,5.38%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.getCenterLow()",2,3,7,4,5.38%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.getDownGap()",2,3,6,3,4.62%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.getOffset()",2,3,6,3,4.62%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.getVerticalOffset()",2,3,6,3,4.62%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.layout()",15,10,57,34,43.85%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge.setOffset(int)",4,6,9,3,6.92%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.ClassdiagramLayouter(ArgoDiagram)",5,6,14,8,2.47%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.NodeRow(int)",4,5,8,3,4.68%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.addNode(ClassdiagramNode)",4,5,10,5,5.85%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.adjustRowNodes()",4,4,22,18,12.87%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.doSplit(int,int)",22,25,68,41,39.77%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.getNodeList()",2,3,6,3,3.51%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.getRowNumber()",2,3,6,3,3.51%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.getWidth(int)",5,7,17,10,9.94%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.iterator()",2,5,8,3,4.68%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.NodeRow.setRowNumber(int)",4,5,9,4,5.26%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.add(LayoutedObject)",5,5,14,8,2.47%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.centerParents()",4,3,15,11,2.65%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.getHGap()",4,5,8,3,1.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.getMinimumDiagramSize()",4,5,21,16,3.71%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.getObject(int)",4,7,10,3,1.77%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.getObjects()",5,6,9,3,1.59%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.getVGap()",4,5,8,3,1.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.layout()",3,3,12,9,2.12%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.placeEdges()",7,8,20,12,3.53%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.placeNode(ClassdiagramNode)",7,5,37,30,6.54%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.placeNodes()",6,3,20,14,3.53%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.rankAndWeightNodes()",22,12,57,35,10.07%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.remove(LayoutedObject)",4,5,8,3,1.41%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.setupLinks()",6,4,49,43,8.66%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter.xCenter(List<ClassdiagramNode>)",3,5,15,10,2.65%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramModelElementFactory.ClassdiagramModelElementFactory()",0,0,1,1,2.44%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramModelElementFactory.getInstance(Object)",3,5,24,19,58.54%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.ClassdiagramNode(FigNode)",4,7,10,3,2.60%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.addDownlink(ClassdiagramNode)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.addRank(int)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.addUplink(ClassdiagramNode)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.calculateWeight()",8,9,20,11,5.21%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.compareTo(Object)",14,14,39,24,10.16%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getColumn()",2,3,6,3,1.56%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getDownNodes()",2,3,6,3,1.56%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getEdgeOffset()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getFigure()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getLevel()",4,5,14,9,3.65%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getLocation()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getPlacementHint()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getRank()",2,3,6,3,1.56%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getSize()",5,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getSubtreeWeight()",5,6,13,7,3.39%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getTypeOrderNumer()",5,6,15,9,3.91%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getUpNodes()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.getWeight()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.isComment()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.isPackage()",4,5,8,3,2.08%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.isStandalone()",6,7,10,3,2.60%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setColumn(int)",5,7,11,4,2.86%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setEdgeOffset(int)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setFigure(FigNode)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setLocation(Point)",4,6,16,10,4.17%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setPlacementHint(int)",6,8,11,3,2.86%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setRank(int)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNode.setWeight(float)",4,6,9,3,2.34%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.ClassdiagramNote(FigNode)",2,3,6,3,10.17%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.calculateWeight()",3,0,8,5,13.56%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.first()",4,5,8,3,13.56%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.getRank()",3,0,7,4,11.86%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.getTypeOrderNumer()",3,0,8,5,13.56%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.getWeight()",3,0,7,4,11.86%
"org.argouml.uml.diagram.static_structure.layout.ClassdiagramNote.isStandalone()",3,0,7,4,11.86%
